test_name,class,iterations,total_time_ms,per_iter_ms,clean_exit,list_file
Short/sets.tst,A,304,7391,24,yes,Short/ok_s.lst
Short/ssi_Z.tst,A,1000,3907,3,yes,Short/ok_s.lst
Short/ssi_ringref.tst,A,1000,671,0,yes,Short/ok_s.lst
Short/puiseuxexpansion.tst,A,73,4561,62,yes,Short/ok_s.lst
Short/vdim_overflow.tst,A,3,12387,4129,yes,Short/ok_s.lst
Short/bug_pr1252.tst,A,304,2373,7,yes,Short/ok_s.lst
Short/poly_div.tst,A,1000,799,0,yes,Short/ok_s.lst
Old/aa.tst,A,1000,1,0,yes,Old/universal.lst
Old/alex1.tst,A,770,8318,10,yes,Old/universal.lst
Old/alex2.tst,A,37,8860,239,yes,Old/universal.lst
Old/algnorm.tst,A,1000,1991,1,yes,Old/universal.lst
Old/barei.tst,A,1000,2318,2,yes,Old/universal.lst
Old/bett.tst,A,1000,1072,1,yes,Old/universal.lst
Old/betti.tst,A,1000,947,0,yes,Old/universal.lst
Old/binomial.tst,A,1000,1582,1,yes,Old/universal.lst
Old/bluff.tst,A,1000,774,0,yes,Old/universal.lst
Old/ch.tst,A,1000,1008,1,yes,Old/universal.lst
Old/cmp.tst,A,36,8401,233,yes,Old/universal.lst
Old/coef.tst,A,1000,1121,1,yes,Old/universal.lst
Old/coeff.tst,A,1000,1061,1,yes,Old/universal.lst
Old/col.tst,A,1000,978,0,yes,Old/universal.lst
Old/comp.tst,A,1000,205,0,yes,Old/universal.lst
Old/corner.tst,A,334,2165,6,yes,Old/universal.lst
Old/cring.tst,A,1000,3490,3,yes,Old/universal.lst
Old/curve.tst,A,1000,950,0,yes,Old/universal.lst
Old/cyclic.tst,A,55,8771,159,yes,Old/universal.lst
Old/def.tst,A,1000,949,0,yes,Old/universal.lst
Old/deg.tst,A,1000,498,0,yes,Old/universal.lst
Old/degre.tst,A,1000,7089,7,yes,Old/universal.lst
Old/det.tst,A,1000,221,0,yes,Old/universal.lst
Old/dimens.tst,A,1000,1314,1,yes,Old/universal.lst
Old/dups.tst,A,1000,1,0,yes,Old/universal.lst
Old/ech.tst,A,1000,166,0,yes,Old/universal.lst
Old/err1.tst,A,1000,1,0,yes,Old/universal.lst
Old/err2.tst,A,1000,0,0,yes,Old/universal.lst
Old/err3.tst,A,193,1,0,yes,Old/universal.lst
Old/err4.tst,A,1000,3,0,yes,Old/universal.lst
Old/err5.tst,A,1000,5932,5,yes,Old/universal.lst
Old/err6.tst,A,1000,1762,1,yes,Old/universal.lst
Old/err7.tst,A,1000,1816,1,yes,Old/universal.lst
Old/execut.tst,A,1000,1080,1,yes,Old/universal.lst
